"CrisisProductOrServiceArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"PAMS",27264232902.5497,26631590111.8408,32409187043.8345,42301889924.6743,48957183624.4333,53017295575.5271,57903926186.7966,62266017954.3803,69353787759.9605,73043931358.8181,73415740669.9018,69315406156.8095,64405277191.5128,56477986528.7225,48062428785.3644,46800455046.0885,48105251252.3878,49969782994.9982,53817601082.8288,56995752710.2576,58493327284.203
"ICT",10599888096.1593,10828143860.2025,11706306064.6358,14159926082.0029,17069984366.0824,17398732003.0818,18091680924.92,18697611862.0403,18907945333.9789,19764950760.8311,20018904820.2757,21097236827.0742,19430321300.9804,16956894120.5314,15846755546.4415,14776078147.2958,16286303876.5367,16379428495.656,18266449849.4293,19299608665.8474,21488700891.4005
"ERS",12603858451.5554,14034905442.1681,15104795267.8507,18066875366.3965,18087039092.3044,21349323663.118,20935613452.0465,21735074392.9512,24681310662.975,26251203496.7618,25180285769.54,28696867828.8392,30774905172.3651,24800034468.9856,26023322197.9395,24628407063.6755,24935914398.5814,28041208454.8235,29972196007.6747,30430631675.4426,29240115116.9805
"FRS",16160395362.542,17549510097.9571,18182719468.1958,25489536287.1098,23897359292.2247,23652186034.1693,27511771016.0452,25443049798.5808,25717674942.3113,28880379418.6371,27687977012.978,27306402272.2959,24321833831.9845,22242623085.2769,24403174461.8403,21122669999.4343,21585963269.8829,21039305806.2496,24420718233.7633,21801914843.3334,24346765061.4355
"Construction",8972149818.93125,9893952834.74759,11789891222.6938,12803828608.4018,13324965004.7146,16072577450.2931,17727778756.6482,18522158396.2756,28520801878.0482,34799313874.7504,29725451843.0819,21750121744.4915,20286931164.1304,13370904531.1095,13283291436.1694,11726547819.4108,11056192811.5835,10658840093.4325,14085370947.4075,20836669637.4054,24777716080.2321
"MED",3248277367.58546,4826775566.28261,7578473822.10999,9910704746.2255,8787239592.33546,10554823803.6897,12043761399.3139,13313544115.1501,13247941878.6314,16459743097.3901,15442434514.0979,16291819001.9239,15741109084.8264,15067790831.73,15718237298.2523,13884745915.1704,14464479456.7363,14535694527.825,14528601003.0311,14480634650.9822,14679398988.3345
