"Shiny.VendorSize","PricingUCA.1year","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Medium","<=1 Year (All Types)",41157448259.6376,44582068312.5038,48176937933.882,50394425868.0909,48176864152.3278,43318049999.8838,36728522590.5842,36669520465.8683,34526495308.049,35764778476.4809,39764226075.279,44567847294.489,44181280959.5741,57321949559.5272,54944697512.5255,52246929991.8154,55978237133.5087,61950722491.024,26639606682.56
"Medium","Cost or Effort-Based",20329433337.8986,21186731044.7492,23225637416.178,24126720922.3006,25016369523.1487,24040662297.9442,21418964801.3725,21810157586.0477,22146124986.2543,23904278051.9545,25943025325.9789,27226911795.8948,30373162935.6914,35646536892.0103,34062118398.1471,31979677751.2004,40301890623.9758,42083683316.25,15252734253.13
"Medium","Crosscutting",7329521395.489,6930310263.7758,11519853768.5099,3252591840.8466,2642136852.3811,2282066750.566,1101887121.2441,1036820375.6133,752285016.9442,1271183911.2996,948462451.0085,1390680843.8618,1770406573.2553,1075189025.5488,1194362079.5561,1032034198.6343,1693944400.4393,2090926754.0875,757551257.12
"Medium","Fixed-Price",32166930466.2456,36085727577.6623,39129918559.2845,41151233490.2127,41026318531.2199,37962331553.6035,34653452739.9777,31987428921.6669,30513989103.4456,30872530224.9485,36575712220.8013,38412503566.263,45173008707.9957,51562690529.0924,49440136866.7556,63075069977.6085,66155475242.7298,61577067699.2687,22422073830.58
"Medium","Incentive",2980849222.3307,4075332561.1255,2989868473.9082,6395152511.0785,7620710639.9618,7757627515.2014,6111521792.3095,4740954061.7,4041743283.7802,3645572543.4061,3645690794.8018,4766199925.3654,4838906764.3524,3944127066.8464,3780981060.6743,3146226632.7197,2896064350.4119,3079980581.52,-481523935.78
"Small","<=1 Year (All Types)",44534666881.1407,50619591446.1782,50975244431.2548,53757856548.4983,49977004213.0952,47345625373.1716,41399717680.6718,45785017013.3254,45431119693.7853,49204123036.453,51091817649.0594,57276771950.9036,57509576260.1207,64548326553.7291,63734763266.1219,68847020015.3198,74701676423.0428,75528545735.1393,26184311251.9
"Small","Cost or Effort-Based",10483922056.1084,10711681262.2794,11521292167.5539,13556518683.2093,13872211838.6512,13550008809.645,13531474221.6004,14135669159.2519,15019316527.6414,16295225859.8068,17241271946.8341,19479789920.4518,22643447016.3796,24023243236.9843,22034544587.6937,23792359996.1748,25968356579.8156,27159099491.73,9866853595.83
"Small","Crosscutting",3327533468.0374,4802051119.0283,5557996020.0107,2554141286.497,1229584767.0498,844744244.0264,729084812.9553,722178140.2326,452152629.3625,774115292.1922,739673525.2679,582952924.887,566729808.1784,636956687.7275,480737839.2294,493838367.9576,770152595.0131,606993883.3,268412665.15
"Small","Fixed-Price",22231407781.2699,22872939985.1702,26949595164.4533,29811491198.2102,29801164334.414,31205872884.6857,28874050423.5444,32246643095.4929,30944164805.5107,33430710203.0272,36592017647.3624,42124985709.4528,44910527653.9219,47351224227.1168,49229135372.8304,56708345948.7263,66397879115.1552,68625432805.5467,23867965307.05
"Small","Incentive",520182332.4393,469854591.801,764192338.0251,916119895.1874,767243041.2513,783030595.6452,935306130.2933,1189924320.636,1174299973.2701,1094475047.994,1060134606.3773,1298516392.1165,963130040.6748,1623669999.4149,1463499876.3206,490754188.6213,739250828.6225,554541044.28,170535944.25
"To Be Labeled","<=1 Year (All Types)",2334719024.0274,2150299873.2166,2905530513.0521,3711992507.4591,4560129945.6114,3585116869.7085,2952515781.0291,4005491093.9322,3725013169.7014,3509518427.967,3833015906.0858,4168049456.3688,4831619991.6778,5861642909.9858,5569747967.5241,6005510656.7748,5926716355.4576,6420923269.45,5251001915.59
"To Be Labeled","Cost or Effort-Based",608126614.3022,702250508.8938,930672096.7907,1288833096.0655,1437489417.4283,1227528104.7007,1166848644.5546,1235733693.5304,1417924996.7395,1264905045.3317,1862607676.8732,1933052740.3523,2801250996.1779,2700060406.3949,2801623008.3796,5699809768.0192,4127235885.9666,5433898822.24,4977507487.95
"To Be Labeled","Crosscutting",154082899.7977,357545770.5632,202937701.6655,507929985.5817,598615606.653,45818374.5598,84860712.792,96837105.8135,70326747.7038,116180812.6022,43880173.898,125079473.4535,310557960.0349,168969616.6811,88931952.9674,444378363.717,282348190.8825,1967508432.61,481424764.08
"To Be Labeled","Fixed-Price",4414427497.3308,7001500080.9471,4504200387.325,3762267093.8059,3787639952.5865,4451620334.4963,4064401601.6905,2674968387.0628,3465730545.9421,3732135999.0045,4166019697.0108,4182210842.728,4754258396.9546,4819199865.3137,5088641794.3931,5611836936.3738,9433278882.2064,10763706141.28,4786866284.53
"To Be Labeled","Incentive",266952354.34,584270016.355,650154226.5069,580957178.1204,471825651.1056,407728666.7869,276257186.8,250234536.36,237558485.1287,201529392.0656,267840140.0998,411411318.2683,315986543.79,581779201.775,603561921.09,448321162.64,720695868.5966,1842186397.99,892392706.85
"Unlabeled","<=1 Year (All Types)",7616466055.2831,9150728349.29,5346796340.1257,4357841586.2432,4002565846.577,3234211472.5249,2047296159.994,1343888895.6439,1374991921.8799,1478972382.216,1453284176.9953,1210378984.7817,1273482189.621,1096279334.7488,1020903056.0557,460713822.8857,605150965.8719,455524242.33,158405885.5
"Unlabeled","Cost or Effort-Based",1115825226.8265,1017305647.2702,1016421749.9367,912108469.7858,366687246.3465,1858181954.1673,1793407820.2947,1253541660.6445,887841104.8656,430492101.4761,559781637.0494,559385524.6498,314623379.5909,257679617.0985,305264319.9794,226619483.8914,886494438.1827,1093123584.49,487824982.41
"Unlabeled","Crosscutting",77113628.4652,311825356.2283,409677340.3896,193037724.0309,270496445.512,141945671.7969,118541042.44,103193479.37,74400869.2793,196547867.81,-7216565.3546,-1615827.7314,7182806.6525,18962493.6545,29938626.9682,11704188.4523,25216058.4661,81081567.58,8321012.49
"Unlabeled","Fixed-Price",871621169.7859,1945441099.5141,2318199579.5464,2034886334.0176,1535559664.7005,1268930949.0041,1002390054.1589,1018356699.5619,1023552280.4531,819570404.3509,723481925.2609,628614944.1289,932667318.7574,211272691.624,323114583.8794,330041508.8996,539792866.0114,355719463.01,60215742.98
"Unlabeled","Incentive",472565,69681,80000,122351,136452,332615.75,680640.39,347403.44,135250.12,22340585.15,65688.1486,212823438.01,318942845.56,152927180.87,62039590.12,-13440984.48,-15832528.92,22880,775
